Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
G04,Quinones,Tetrachlorohydroquinone,2.3.5.6-Tetrachloro-1.4-Benzendiol,87-87-6,211.0,,,Acetonitrile,,,,,,,,,,247.9,C6H2Cl4O2,C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O,2,2,,,,
G05,Quinones,2.3.5.6-tetramethyl-1.4-benzoquinone,Duroquinone,527-17-3,270.0,,,Acetonitrile,,,,,,,,,,164.20,C10H12O2,CC1=C(C(=O)C(=C(C1=O)C)C)C,0,2,,,,
G06,Quinones,2.3-dichloro-5.6-dicyano-1.4-benzoquinone,Ddq,84-58-2,400.0,,,,1.0,,2.67,0.49,,,,3.18,,227.00,C8Cl2N2O2,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,0,4,,,,
G07,Quinones,3.4.5.6-tetrachloro-1.2-benzoquinone,O-Chloranil,2435-53-2,458.0,,,Chloroform,,,,,,,,,,245.9,C6Cl4O2,C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl,0,2,,,,
G08,Quinones,2.5-diphenyl-1.4-benzoquinone,,844-51-9,243.0,,,Acetonitrile,,,,,,,,,,260.3,C18H12O2,C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3,0,2,,,,
G09,Quinones,2.5-di-tert-butyl-1.4-benzoquinone,,2460-77-7,258.0,,,Acetonitrile,,,,,,,,,,220.31,C14H20O2,CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,0,2,,,,
G10,Quinones,Tetracyanoethylene,Tcne,670-54-2,267.0,,,Chloroform,,,,,,,,,,128.09,C6N4,C(#N)C(=C(C#N)C#N)C#N,0,4,,,,
G11,Quinones,7.7.8.8-tetracyanoquinodimethane,Tcnq,1518-16-7,401.0,,,Chloroform,,,,,,,,,,204.19,C12H4N4,C1=CC(=C(C#N)C#N)C=CC1=C(C#N)C#N,0,4,,,,
G12,Quinones,1.4-naphthoquinone,Alpha-Naphthoquinone,130-15-4,246.0,,,Ethanol,,,,,,,,,,158.15,C10H6O2,C1=CC=C2C(=O)C=CC(=O)C2=C1,0,2,,,,
G13,Quinones,1.4-naphthoquinone-2-sulfonic acid. potassium salt,,34169-62-5,255.0,,,Water,,,,,,,,,,276.31,C10H5KO5S,C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)[O-].[K+],0,5,,,,
