PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
E18,https://photochemcad.com/databases/common-compounds/heterocycles,Thiazole Orange,,107091-89-4,"Sigma-Aldrich, 390062",502,,,,methanol
E19,https://photochemcad.com/databases/common-compounds/heterocycles,Thioflavin T,,2390-54-7,"Sigma-Aldrich, T3516",413,,,0.0004,water
E20,https://photochemcad.com/databases/common-compounds/heterocycles,"Tris(2,2'-bipyridyl)ruthenium(II)","Tris(2,2_-bipyridyl)dichlororuthenium(II)",65034-88-0,,286,,,,water
E21,https://photochemcad.com/databases/common-compounds/heterocycles,4-Chloro-7-nitrobenzofurazan,NBD,10199-89-0,,336,,,,ethanol
E22,https://photochemcad.com/databases/common-compounds/heterocycles,"7-Benzylamino-4-nitrobenz-2-oxa-1,3-diazole","4-Benzylamino-7-nitrobenzofurazan, Benzylamino-NBD",18378-20-6,"Sigma-Aldrich, B-1889",460.5,,,0.36,ethanol
E23,https://photochemcad.com/databases/common-compounds/heterocycles,Carbostyril 124,7-Amino-4-methyl-2-hydroxyquinoline,19840-99-4,,219,,,0.97,water (pH 5 to 9 )
E24,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline Yellow,Acid Yellow 3,8004-92-0,"TCI, Q0023",413,,,,PBS
E25,https://photochemcad.com/databases/common-compounds/heterocycles,"2,3,5-Triphenyltetrazolium Chloride",Tetrazolium Red,298-96-4,"TCI, T0520",247,,,,PBS
E26,https://photochemcad.com/databases/common-compounds/heterocycles,Quinine sulfate,,207671-44-1,,349,,,0.546,H2SO4 aq (1 N)
E01,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine,,110-86-1,,251,,,,acetonitrile
E02,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine N-oxide,,694-59-7,"Sigma-Aldrich, 131652",276,,,,dichloromethane
E03,https://photochemcad.com/databases/common-compounds/heterocycles,2-Acetylpyridine,,1122-62-9,"Sigma-Aldrich, A2,100-2",227,,,,cyclohexane
E04,https://photochemcad.com/databases/common-compounds/heterocycles,4-Dimethylaminopyridine,DMAP,1122-58-3,,257,,,0.017,acetonitrile
E05,https://photochemcad.com/databases/common-compounds/heterocycles,4-(4-Nitrobenzyl)pyridine,,1083-48-3,"TCI, N0183",265,,,,ethanol
E06,https://photochemcad.com/databases/common-compounds/heterocycles,"1,3,5-Triazine",s-Triazine,290-87-9,"Alfa Aesar, L16911",270,,,,ethanol
E07,https://photochemcad.com/databases/common-compounds/heterocycles,Phthalimide,,85-41-6,,215,,,,ethanol
E08,https://photochemcad.com/databases/common-compounds/heterocycles,"2,2'-Bipyridine","2,2_-Bipyridyl; 2,2_-Dipyridine; 2,2_-Dipyridyl",366-18-7,,281,,,,acetonitrile
E09,https://photochemcad.com/databases/common-compounds/heterocycles,"4,4'-Bipyridine","4,4_-Bipyridy; 4,4_-Dipyridine; 4,4_-Dipyridyl",553-26-4,"Alfa Aesar, A10187",238,,,,acetonitrile
E10,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline,,91-22-5,"Sigma-Aldrich, 241571",204,,,0.01,ethanol
E11,https://photochemcad.com/databases/common-compounds/heterocycles,8-Quinoline carboxylic acid,,86-59-9,"Sigma-Aldrich, 367796",219,,,0.02,ethanol
E12,https://photochemcad.com/databases/common-compounds/heterocycles,3-Quinoline carboxaldehyde,,13669-42-6,"Sigma-Aldrich, 177121",245,,,,ethanol
E13,https://photochemcad.com/databases/common-compounds/heterocycles,Benzothiazole,,95-16-9,"Sigma-Aldrich, 101338",217,,,,ethanol
E14,https://photochemcad.com/databases/common-compounds/heterocycles,Benzotriazole,,95-14-7,"Sigma-Aldrich, B11400",253,,,,ethanol
